"team","season","week","carries","rush_yards","rush_td","rush_fumble","qb_scramble","rush_20plus","rush_40plus","rush_longest","rush_stacked_box","yard_per_car","passing_yards","pass_td","ints","yac","sacks","completions","pass_20plus","pass_40plus","pass_longest","pass_against_blitz","pass_attempts","completion_pct","yds_per_att"
"LA",2023,5,39,159,1,0,4,0,0,17,11,4.1,303,1,1,149,1,25,4,1,49,15,38,0.658,8
"LA",2023,6,30,130,0,0,3,2,0,24,0,4.3,235,0,1,97,2,21,3,0,27,8,41,0.512,5.7
"LA",2023,7,29,86,3,1,1,0,0,13,10,3,230,0,0,111,2,17,4,0,39,10,25,0.68,9.2
"LA",2023,8,26,102,0,0,4,0,0,13,5,3.9,307,4,1,136,3,27,5,0,26,17,34,0.794,9
"LA",2023,9,38,184,1,1,1,2,0,31,10,4.8,228,1,0,104,4,20,3,0,37,8,26,0.769,8.8
"LAC",2023,1,20,70,1,2,1,0,0,12,5,3.5,466,3,1,162,0,28,8,1,47,16,45,0.622,10.4
"LAC",2023,10,31,200,3,0,0,2,1,75,10,6.5,333,2,0,174,0,23,6,2,46,14,33,0.697,10.1
"LAC",2023,11,28,102,1,1,1,1,0,32,2,3.6,322,2,0,192,3,27,6,0,35,22,40,0.675,8.1
"LAC",2023,12,35,197,1,0,2,2,0,37,4,5.6,177,1,0,120,2,18,1,0,21,12,32,0.562,5.5
"LAC",2023,13,32,148,0,2,3,1,0,39,2,4.6,141,0,0,59,5,13,3,0,27,11,25,0.52,5.6
"LAC",2023,14,31,106,1,0,1,1,0,20,4,3.4,224,2,1,184,2,21,2,1,46,12,33,0.636,6.8
"LAC",2023,15,26,124,2,0,0,1,0,26,2,4.8,260,5,0,95,1,22,5,0,30,11,36,0.611,7.2
"LAC",2023,16,30,105,2,2,1,0,0,10,4,3.5,237,1,1,83,1,15,3,1,57,11,21,0.714,11.3
"LAC",2023,17,33,101,0,0,2,0,0,16,0,3.1,224,1,0,174,2,20,2,2,54,0,32,0.625,7
"LAC",2023,18,28,123,0,0,4,1,0,25,0,4.4,154,0,1,109,1,15,2,0,37,0,30,0.5,5.1
"LAC",2023,2,34,141,2,0,0,1,0,23,12,4.1,246,1,0,63,5,20,3,2,70,10,24,0.833,10.2
"LAC",2023,3,24,130,0,0,1,0,0,15,3,5.4,367,3,1,149,4,32,6,1,52,14,50,0.64,7.3
"LAC",2023,4,23,76,2,0,0,0,0,11,2,3.3,238,0,1,134,7,24,2,0,25,8,39,0.615,6.1
"LAC",2023,6,26,96,1,0,3,0,0,18,4,3.7,272,1,0,125,5,21,3,1,60,8,30,0.7,9.1
